nct_id,outcome_domain,time_frame,time_months,module_path,group_id,arm_group_name,arm_role,arm_class,arm_label,subjects_with_sae,event_count,denominator,count_type,is_event_count,is_incomplete,source_url
NCT03098979,SAE,From start of study drug administration up to 26 weeks,5.983889528193326,resultsSection.adverseEventsModule,EG001,Neladenoson Bialanate 5mg,treatment,Other,neladenoson bialanate 5mg,2,,27,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03098979
NCT03098979,SAE,From start of study drug administration up to 26 weeks,5.983889528193326,resultsSection.adverseEventsModule,EG000,Placebo,comparator,Placebo/SoC,placebo,3,,76,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03098979
NCT03133793,SAE,Adverse events (AEs) were assessed every 4 weeks throughout treatment from time of first dose and up to the last day at 12 weeks. AEs were evaluated over treatment which was a maximum duration of 3 cycles (approximately 3 months).,3.0,resultsSection.adverseEventsModule,EG003,CoQ10 + D-ribose,treatment,Other,coq10 + d-ribose,2,,33,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03133793
NCT03133793,SAE,Adverse events (AEs) were assessed every 4 weeks throughout treatment from time of first dose and up to the last day at 12 weeks. AEs were evaluated over treatment which was a maximum duration of 3 cycles (approximately 3 months).,3.0,resultsSection.adverseEventsModule,EG001,CoQ10 Only,treatment,Other,coq10 only,2,,35,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03133793
NCT03133793,SAE,Adverse events (AEs) were assessed every 4 weeks throughout treatment from time of first dose and up to the last day at 12 weeks. AEs were evaluated over treatment which was a maximum duration of 3 cycles (approximately 3 months).,3.0,resultsSection.adverseEventsModule,EG002,D-ribose Only,treatment,Other,d-ribose only,3,,33,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03133793
NCT03133793,SAE,Adverse events (AEs) were assessed every 4 weeks throughout treatment from time of first dose and up to the last day at 12 weeks. AEs were evaluated over treatment which was a maximum duration of 3 cycles (approximately 3 months).,3.0,resultsSection.adverseEventsModule,EG000,Placebo Only,comparator,Placebo/SoC,placebo,3,,38,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03133793
NCT03153111,SAE,Up to 17 months,17.0,resultsSection.adverseEventsModule,EG000,Macitentan,treatment,Other,macitentan,6,,71,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03153111
NCT03153111,SAE,Up to 17 months,17.0,resultsSection.adverseEventsModule,EG001,Placebo,comparator,Placebo/SoC,placebo,6,,71,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03153111
NCT03254485,SAE,From first dose of study drug (Day 1) up to Follow-up Visit (Day 113),3.7125256673511293,resultsSection.adverseEventsModule,EG000,Placebo,comparator,Placebo/SoC,placebo,2,,90,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03254485
NCT03254485,SAE,From first dose of study drug (Day 1) up to Follow-up Visit (Day 113),3.7125256673511293,resultsSection.adverseEventsModule,EG003,Praliciguat 40 mg,treatment,sGC stimulators,praliciguat,1,,91,subjects_from_max_term,True,False,https://clinicaltrials.gov/study/NCT03254485
